id,e,f
1246,Replace Husky Lateral,Remplacement du pipeline latéral Husky
1247,Construct Transmission North,Construction du réseau de transport Nord
1248,Construct Edmonton Tank Expansion 2012 Phase 2,Construction liée au projet d’agrandissement du terminal Edmonton en 2012 – phase II
1249,Construct Gordondale Lateral Loop No. 2,Construction du doublement no 2 de la canalisation latérale Gordondale
1250,Construct Groundbirch Saturn Section,Construction du tronçon Saturn de la canalisation Groundbirch
1252,Construct Pembina Nipisi Heavy Receipt Connection,Construction du raccordement au point de réception de pétrole lourd du pipeline Nipisi de Pembina
1253,Construct  Plains Midstream Diluent Connection,Construction d’un raccordement de canalisation de diluant de Plains Midstream
1254,Deactivate Enbridge (Westpur) Line EX01,Désactivation de la canalisation EX01
1255,Sale Mainline Station 49 Unit C from TCPL to NGTL,Cession de propriété de l’unité C à la station 49 de la canalisation principale à NGTL
1256,Compliance Verification Meeting - Centra,Réunion de vérification de la conformité
1257,Construct Gold Creek Compressor Station Unit B3,Construction du compresseur B3 à la station Gold Creek
1258,"Deactivate Sections Sections B, C & D of Salmon Pipelines","Désactivation des tronçons B, C et D d’un pipeline à Salmon River"
1259,Deactivate South Sukunka Pipeline,Désactivation du pipeline South Sukunka
1260,Construct Westcoast Dawson,Construction d’une usine à gaz et d’un gazoduc à Dawson Creek
1261,Construct Tanghe Creek Lateral Loop No.2,Construction du doublement de canalisation latérale Tanghe Creek no 2
1262,Construct Cochin Lateral Road Crossing,Construction du croisement routier du latéral de Cochin
1263,"Deactivate 18"" Highwater to Montreal East Transmission Pipeline",Désactivation du pipeline de transport de 18 po entre Highwater et Montréal Est
1264,Construct Grande Prairie Mainline Loop,Construction du doublement de la canalisation principale à Grande Prairie
1265,Construct Hidden Lake North & Moody Creek Compressor Stations,Construction des stations de compression Hidden Lake North et Moody Creek
1266,Construct Bear River Lateral Loop No. 2,Construction de la canalisation latérale de doublement Bear River no 2
1267,Construct Bakken Pipeline,Construction du pipeline Bakken
1268,Construct Compressor Station at Earlton Ontario,Construction d’une station de compression à Earlton (Ontario)
1269,Decommission Bone Creek Section of Foothills System,Désaffectation du tronçon Bone Creek au croisement du réseau de Foothills
1270,Construct Vantage Pipeline,Construction du pipeline Vantage
1271,Construct Cornwall Pipeline Facilities,Construction d’installations pipelinières à Cornwall
1272,Deactivate Boundary Lake Pipeline,Désactivation du pipeline Boundary Lake
1273,Reactivate Refined Products Direct Injection Transfer Line,Réactivation d’une ligne de transfert à injection directe de produits raffinés
1274,Construct Grace Creek Meter Station,Construction de la station de comptage Grace Creek
1276,Construct Saddle West,Construction de la station de comptage au point de réception Saddle West
1277,Condition Compliance AO-004-CPTC-1983-2 and AO-003-1995-P-35,Conformité aux conditions des ordonnances AO-004-CPTC-1983-2 et AO-003-1995-P-35
1278,Deactivate Northwest System,Désactivation du réseau Nord-Ouest
1280,Construct North Heart River Meter Stn & Decommission Cranberry Lake Meter Stn,Construction station comptage North Heart River et désaffectation station comptage Cranberry Lake
1281,Deactivate Portion of Line 21,Désactivation d’une partie de la canalisation 21
1282,Reactivate Line 3 Injection Piping at Cromer Terminal,Réactivation des tuyaux d’injection de la canalisation 3 au terminal Cromer
1283,Reactivate IOL Sarnia Connection at Edmonton Terminal,Réactivation du raccordement Sarnia d’IOL au terminal Edmonton
1284,Construct Rodney Creek Meter Station,Construction de la station de comptage Rodney Creek
1286,Construct Secure Energy Connection Inject Line 2 at Kerrobert Terminal,Construction liée à l’injection de pétrole brut dans la canalisation 2 au terminal Kerrobert
1287,Relocate Facility Piping at Kamloops Terminal,Déplacement de tuyauterie d’installations au terminal Kamloops
1288,Decommission Facility Piping at Kamloops Terminal,Désaffectation de tuyauterie d’installations au terminal Kamloops
1289,Construct Hebert North Delivery Meter Station,Construction de la station de comptage au point de livraison Herbert North
1290,Transfer Line EX-01  from Enbridge Westspur to Enbridge Bakken,Cession de la canalisation EX-01 d’Enbridge Westspur à Enbridge Bakken
1291,Construct Gold Creek South Meter Station,Construction de la station de comptage Gold Creek South
1295,Deactivate Bigstone Lateral and Bigstone West Meter Station,Désactivation de la canalisation latérale Bigstone et de la station de comptage Bigstone West
1296,Replace Line 23A and 23B at Pipestone Creek,Remplacement de tronçons des canalisations 23A et 23B au ruisseau Pipestone
1297,Construct IPL for Quebec to New Hampshire Interconnection,Construction d’une ligne d’interconnexion Québec-New Hampshire
1299,Replace Westcoast Kobes 3 Pipe,Remplacement de la conduite Kobes 3
1300,Construct Valhalla North Meter Station,Construction de la station de comptage Valhalla North
1301,Construct Empress Area Extraction Connections,Construction de raccordements à des usines d’extraction dans la région d’Empress
1302,Decommission Receipt Point Piping on 10” Fireweed Pipeline,Désaffectation de la tuyauterie au point de réception sur le pipeline Fireweed (254 mm [10 po])
1303,Transfer Goodlow Pipeline from Canlin to CQ Energy,Cession de propriété du pipeline Goodlow de Canlin à CQ Energy
1304,Construct Hythe Lateral Loop No. 2,Construction du doublement de la canalisation latérale Hythe no 2
1305,Construct Dismal Creek Meter Station,Construction de la station de comptage Dismal Creek
1306,Construct Smoky River Lateral Loop,Construction du doublement de la canalisation latérale Smoky River
1307,Reactivate Majority of Enbridge Line 21,Réactivation de la majeure partie de la canalisation 21
1308,Variance Saint Sebastien Extension to Extend Sunset Clause,Demande de modification visant la disposition de temporisation du projet Saint-Sébastien
1309,Transfer Three Pipelines from ARC Resources to Leucrotta Exploration,Cession de propriété de trois pipelines d’ARC Resources à Leucrotta Exploration
1311,Abandon NGTL Meter Stations and Laterals,Cessation d’exploitation de stations de comptage et de canalisations latérales
1312,Transfer Mid-Continent Pipeline from Many Islands to Pine Cliff,Cession de propriété de Mid-Continent Pipelines de Many Islands à Pine Cliff
1313,Condition Compliance AO-004-CPTC-1983-2 and AO-003-1995-P-35,Conformité aux conditions des ordonnances AO-004-CPTC-1983-2 et AO-003-1995-P-35
1319,Construct Station 130 C4 Unit,Construction liée à l’unité C4 à la station 130
1320,Construct Drywood Compressor Station Cooler,Construction liée au refroidisseur à la station de compression Drywood
1321,Construct Compressor Station 1 (CS1) Modernization,Construction liée à la modernisation de la station de compression no 1 (CS1)
1322,Relocate On-Site Brine Pipeline,Déplacement du pipeline de saumure sur le site
1324,Decommission NGTL Pipelines and Meter Stations,Désaffectation de pipelines et de stations de comptage
1325,Abandon Petrolia Pipeline,Cessation d’exploitation du pipeline Petrolia
1326,Abandon Chinook-Loomis Pipeline,Cessation d’exploitation du pipeline Chinook-Loomis
1328,Construct Vaughan Mainline,Construction du réseau principal à Vaughan
1334,Variance Condition 7  MO-035-2012  to Extend Sunset Clause,Demande de modification de la condition 7 de MO-035-2012 – report de la disposition de temporisation
1335,Construct Livingstone Creek Meter Station,Construction de la station de comptage Livingstone Creek
1337,Amalgamate PMEM ULC with PMC ULC as Plains Midstream Canada ULC,Fusion de PMEM ULC avec PMC ULC sous la dénomination Plains Midstream Canada ULC
1339,Construct Line 9B Reversal and Capacity,Construction – inversion de la canalisation 9B et accroissement de la capacité de la canalisation 9
1341,Transfer two sour gas pipelines from Glenogle Energy to Enercapita Energy,Transfert de deux pipelines de transport de gaz sulfureux de Glenogle Energy à Enercapita Energy
1343,Replace Bluewater River Crossing,Remplacement du franchissement de la rivière Bluewater
1344,Leave to Open - Keystone,Demande d’autorisation de mise en service du pipeline Keystone
1345,Construct Line 9B Reversal and Capacity,Construction – inversion de la canalisation 9B et accroissement de la capacité de la canalisation 9
1346,Board Order Remove items from Westcoast RoW,Ordonnance visant le retrait des articles entreposés sur l’emprise
1347,Construct Keystone XL Pipeline,Construction du pipeline Keystone XL
1349,Implementation of Financial Resource Requirements,Mise en œuvre des obligations en matière de ressources financières
1350,Deactivate Peace River Pipeline Segment,Désactivation d’un tronçon du pipeline Peace River
1351,Board Order TQM Class Location Changes,Ordonnance visant la modification de la classe d’emplacement sur le réseau
1352,Filing Exemption Niagara Gas Audited Financial Statements,Demande visant à être soustrait de l’obligation de déposer des états financiers audités
1353,Transfer Monkman Pipelines to Westcoast,Transfert des pipelines Monkman à Westcoast
1354,Construct South Maxhamish Loop,Construction du doublement South Maxhamish
1355,Construct Enbridge Edmonton to Hardisty Pipeline,Construction du pipeline Edmonton-Hardisty
1356,Abandon Peace River Mainline,Cessation d’exploitation de la canalisation principale Peace River
1357,Construct Musreau Cutbank,Construction liée au projet d’agrandissement Musreau Cutbank
1358,Transfer Utopia Pipeline from Kinder Morgan to Plains Midstream,Cession d’un tronçon du pipeline Utopia de Kinder Morgan à Plains Midstream
1360,Confidential Filing of Line 9 throughput data pursuant to Condition 6,Dépôt confidentiel de renseignements sur le débit conformément à la condition 6
1361,Upgrade East Hereford Compressor Station,Amélioration de la station de compression East Hereford
1362,Construct South Saskatchewan Access Pipeline,Construction du pipeline d’accès à la Saskatchewan Sud
1363,Construct Northwest Mainline Loop Boundary Lake North Section,Construction du doublement de la canalisation principale Nord-Ouest – tronçon Boundary Lake North
1364,Construct Wilkin Lake Sales Meter Station,Amélioration de la station de comptage au point de vente Wilkin Lake
1365,Construct Edson Control Valve Addition,Construction liée à l’ajout d’une vanne de réglage à Edson
1366,Deactivate Steelman pipeline and battery connection,Désactivation du pipeline et du raccordement à la batterie dans la région de Steelman
1367,Replace Tank 5501 at McMahon Gas Plant,Remplacement du réservoir 5501 à l’usine à gaz McMahon
1368,Replace Kaybob Lateral Crossing,Remplacement du franchissement de la canalisation latérale Kaybob
1369,Construct Winchell Lake Compressor Station,Construction de la station de compression Winchell Lake
1372,Construct Gold Creek Meter Station,Construction de la station de comptage Gold Creek
1373,Construct GPML Loop No. 2 Wapiti Section,Construction du doublement no 2 de la canalisation principale Grande Prairie pour le tronçon Wapiti
1374,Construct Clearwater West Expansion,Construction liée au projet d’agrandissement Clearwater West
1388,Abandon Section of Boundary Lake Pipeline,Cessation d’exploitation d’un tronçon du pipeline Boundary Lake
1409,NOVA Gas Transmission Ltd. - construct and operate the West Path Delivery Project - (HEARING),NOVA Gas Transmission Ltd. - construction et exploitation du projet de livraison parcours ouest
1402,Trans Mountain Expansion Project - Reconsideration- MH-052-2018,Projet agrandissement de Trans Mountain - Reconsidération - MH-052-2018
779,SAM/COM,Mécanismes de mise de côté et de prélèvement des fonds
2438,Enbridge Pipelines Inc. - Line 5 St. Clair River Replacement Project,Pipelines Enbridge Inc. - canalisation 5 - rivière St. Clair
2442,Variance AO-010-SG-N081-001-2014 Remove pressure restriction,Modification de l’ordonnance AO-010-SG-N081-001-2014 visant le retrait d’une restriction de pression
1147,"Trans-Northern Pipelines Inc.- Overpressure Incidents, and Safety Orders- SO-T217-03-2010, SG-T217-04-2009, and SG-T217-01-2010","Trans-Northern Pipelines Inc. – Incidents de surpression – Ordonnances de sécurité SO-T217-03-2010, SG-T217-04-2009 et SG-T217-01-2010"
2529,Application for the TQM Reinforcement and Asset Purchase,Demande concernant l’acquisition d’actifs et le renforcement de TQM
1279,Relocate NPS10 Pipeline,Déplacement de la canalisation de 254 mm (NPS10)
2555,NOVA Gas Transmission Ltd. s. 52 application - Edson Mainline Expansion Project,NOVA Gas Transmission Ltd. - Projet d’agrandissement du réseau principal à Edson
2585,Foothills Pipe Lines (South B.C.) Ltd. - Foothills Zone 8 West Path Delivery 2023 Project,Foothills Pipe Lines (South BC) Ltd. – Projet de livraison parcours ouest dans la zone 8 de Foothills en 2023
2562,Maritimes & Northeast Pipelines Ltd. application to maintain the Goldboro Custody Transfer Station in a deactivated state.,Maritimes & Northeast Pipelines Ltd. – Demande visant le maintien de la station de transfert de propriété Goldboro en état de désactivation
2468,Many Islands Pipe Lines (Canada) Limited s. 58 application to construct and operate -  Norquay Benito Pipeline Segment Replacements,Many Islands Pipe Lines (Canada) Limited – Demande aux termes de l’article 58 visant le remplacement de tronçons du pipeline Norquay-Benito
1397,Many Islands Pipe Lines (Canada) Limited s. 21 Application to Vary GC-47 to modify the flow direction of the Loomis Herbert Pipeline,Many Islands Pipe Lines (Canada) Limited – Demande de modification du certificat GC-47 aux termes de l’art. 21 pour modifier le sens d’écoulement du pipeline Loomis Herbert
2491,Alliance Pipeline Ltd. application to Deactivate the Carson Creek Facilities,Alliance Pipeline Ltd. – Demande visant la désactivation des installations Carson Creek
2422,Westcoast Energy Inc. - s. 58 application  to construct and operate - 6BL Bonaparte River Crossover Assembly,Westcoast Energy Inc. – Demande aux termes de l’article 58 visant la construction et l’exploitation de l’ouvrage de franchissement 6BL de la rivière Bonaparte
2445,Cona Resources s. 74 application to sell pipelines from Cona to Prospera Energy Inc.,Cona Resources – Demande aux termes de l’art. 74 visant la vente de pipelines de Cona à Prospera Energy Inc.
1251,Deactivate Kahntah Pipeline,Désactivation du pipeline Kahntah
2591,Westcoast Energy Inc - application to construct and operate - Meter Station 21 Replacement Project,Westcoast Energy Inc. – Demande visant la construction et l’exploitation du projet de remplacement de la station de comptage 21
2531,"Trans Mountain Pipeline ULC application to deactivate Edmonton Terminal Tanks 20, 21 & 22.","Trans Mountain Pipeline ULC – Demande de désactivation des réservoirs 20, 21 et 22 au terminal Edmonton."
1403,Westcoast Energy Inc. - s. 58 application - Methanol Tank Replacement Project at McMahon Gas Plant and s. 45.1 OPR application to decommission the tanks being replaced,"Westcoast Energy Inc. – Demande aux termes de l’art. 58 visant le projet de remplacement du réservoir de méthanol à l’usine à gaz McMahon, et du paragr. 45.1 du RPT visant la désaffectation des réservoirs remplacés"
1340,Variance Moose Lake IPL,Demande de modification visant une ligne internationale de transport d’électricité à Moose Lake
2502,Express Pipeline Ltd. - Express Capacity Expansion Project- Line 40A,Express Pipeline Ltd. – Projet d’accroissement de la capacité d’Express – Canalisation 40A
2551,"Omimex Canada, Ltd. application for leave to abandon the Reagan Pipeline and associated facilities.","Omimex Canada, Ltd. – Demande d’autorisation de cessation d’exploitation du pipeline Reagan et des installations connexes"
2479,Vermilion Energy Inc. s. 74(1)(d) abandonment application for the Monchy pipeline and associated adjacent meter station,Vermilion Energy Inc. – Demande aux termes de l’al. 74(1)d) visant la cessation d’exploitation du pipeline Monchy et de la station de comptage adjacente connexe
2528,Trans-Northern Pipelines Inc - Toronto Port Lands Abandonment Project,Pipelines Trans-Nord Inc. – Demande visant le projet de cessation d’exploitation du port de Toronto
2428,NOVA Gas Transmission Ltd. s. 58 application to construct and operate - Pipestone Creek Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Pipestone Creek
2594,Enbridge Pipelines Inc. - application to construct and operate - Edmonton Terminal Trap Enhancement Project,Pipelines Enbridge Inc.  - Demande visant la construction et l’exploitation du projet d’amélioration d’un sas de départ au terminal Edmonton
1389,Addition Buffalo Creek B3 and Goodfish A2 Compressor Station Unit,Ajout de motocompresseurs aux stations Buffalo Creek B3 et Goodfish A2
2522,Foothills Pipe lines (South B.C.) Ltd. -  Zone 8 West Path Delivery 2022 Project,Foothills Pipe Lines (South BC) Ltd. – Projet de livraison parcours ouest dans la zone 8 de Foothills en 2022
2508,NOVA Gas Transmission Ltd. s. 58 application to construct and operate - Saddle Lake Lateral Loop (Cold Lake Section) Project,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet de doublement de la canalisation latérale Saddle Lake (tronçon Cold Lake)
1383,Abandon Renaissance-Bronson North Pipeline,Cessation d’exploitation du pipeline Renaissance-Bronson North
2565,Trans-Northern Pipelines Inc. - application to construct and operate - TNPI Dorval Tunnel Relocation Project,Pipelines Trans-Nord Inc. – Demande visant la construction et l’exploitation du projet de déplacement du tunnel Dorval
2416,Spartan Energy Corp. and Vermilion Energy Inc. s. 74(1)(c) amalgamation application - new owner/operator - Vermilion,"Spartan Energy Corp. et Vermilion Energy Inc. – Demande aux termes de l’al. 74(1)c) visant la fusion, nouveau propriétaire / exploitant Vermilion"
1377,Construct & Decommission North Path Delivery,Construction et désaffectation du projet de livraison parcours nord
2459,Westcoast s. 58 application - CS-3 Compressor Station Upgrade Project -(PANEL ASSIGNED) COMBINED 4 T-SOUTH APPLICATIONS (HEARING),Westcoast – Demande aux termes de l’art. 58 visant le projet de modernisation de la station de compression CS-3 (FORMATION DÉSIGNÉE) COMBINÉE À QUATRE DEMANDES RELATIVES AU PIPELINE TSUD (AUDIENCE)
2419,Westcoast Energy Inc. s. 74(1)(a) application to sell to Pine River and Kwoen processing plants (Grizzly Valley Assets) to Sukunka Natural Resources Inc.,Westcoast Energy Inc. – Demande aux termes de l’al. 74(1)a) visant la vente des usines de traitement Pine River et Kwoen (actifs de Grizzly Valley) à Sukunka Natural Resources Inc.
2471,TransCanada PipeLines Limited - s 58 application to construct and operate - Waverley West Sales Meter Station,TransCanada Pipelines Limited – Demande aux termes de l’article 58 visant la construction et l’exploitation de la station de comptage au point de vente Waverley West
2448,Bellatrix Exploration Ltd. s. 74(1)(d) application to abandon in place the Cypress Merryflat Pipeline,Bellatrix Exploration Ltd. – Demande aux termes de l’alin. 74(1)d) visant la cessation d’exploitation sur place du pipeline Cypress Merryflat
2425,Canadian Natural Resources Limited s. 44 OPR application to deactivate the John Lake Pipeline.,Canadian Natural Resources Ltd. – Demande aux termes de l’art. 44 du RPT visant la désactivation du pipeline John Lake
1406,Trans Mountain pipeline ULC s. 45.1 OPR application - decommissioning North Thompson River Crossing 6.,Trans Mountain Pipeline ULC – Demande aux termes du paragr. 45.1 du RPT visant la désaffectation de l’ouvrage de franchissement no 6 de la rivière Thompson Nord
2542,Prospera abandonment application for three pipelines sweet natural gas pipelines,Prospera – Demande visant la cessation d’exploitation de trois pipelines de transport de gaz naturel non corrosif
2582,Enbridge Pipelines Inc. - application  to Deactivate the Husky Terminal Connection to Lines 2 and 3.,Pipelines Enbridge Inc. – Demande visant la désactivation du raccordement du terminal Husky aux canalisations 2 et 3
2588,Enercapita Energy Ltd. application to deactivate the Boundary Lake Pipeline,Enercapita Energy Ltd. – Demande de désactivation du pipeline Boundary Lake
2482,NOVA Gas Transmission Ltd. s. 214 application to construct and operate - Alberta-Montana Border Sales Meter Station Replacement,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 214 visant la construction et l’exploitation du remplacement de la station de comptage au point de vente à la frontière Alberta-Montana
2488,Enbridge Pipelines Inc - Kinder Morgan Expansion Project,Pipelines Enbridge Inc. – Projet d’agrandissement Kinder Morgan
2436,Enbridge Pipelines Inc. s. 44  OPR deactivation application - Tank 6 (EP-302-TK-6) and the Associated 42” and 48” Fill Lines at Edmonton Terminal,Pipelines Enbridge Inc. – Demande aux termes de l’art. 44 du RPT visant le réservoir 6 (EP-302-TK-6) et les canalisations de remplissage connexes de 42 po et de 48 po au terminal Edmonton
2525,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission - application for the Silverstar Project to add metering capability at its existing Sunset Creek Compressor Station (CS-16).","Westcoast Energy Inc., exploitée sous la dénomination sociale Spectra Energy Transmission – Demande visant le projet Silverstar en vue d’ajouter une capacité de comptage à la station de compression Sunset Creek (CS-16)"
2574,Trans Mountain Pipeline ULC - Coquihalla Crossing No. 15 and 16 Replacement Project,Trans Mountain Pipeline ULC – Projet de remplacement des ouvrages de franchissement Coquihalla nos 15 et 16
1386,Pouce Coupe Temporary Crossing at Henderson Creek,Franchissement temporaire au ruisseau Henderson
2456,"TMPU s. 112 application - Martini Construction - for a sidewalk installation at 19151 95A Avenue, Surrey, BC.","TMPU – Demande aux termes de l’art. 112 – Martini Construction – Aménagement d’un trottoir au 19151, 95A Avenue, Surrey (C.-B.)"
2499,Foothills Pipe Lines Ltd. application to construct and operate - Shaunavon Sales Meter Station,Foothills Pipe Lines Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de vente Shaunavon
2548,Alliance Pipeline Ltd - Bigstone HDD Pipe Replacement Project,"Alliance Pipeline Ltd. – Projet de remplacement du tube par FDH, Bigstone"
2519,Tamarack Acquisition Corp application for the abandonment of the Reflex Lake Pipeline,Tamarack Acquisition Corp – Demande visant la cessation d’exploitation du pipeline Reflex Lake
2568,NOVA Gas Transmission application to construct and operate - Chambers Creek Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande visant la construction et l’exploitation de la station de comptage au point de réception Chambers Creek
2554,Ovintiv Canada ULC application to vary order XG-013-2020. Tupper Hythe Pipeline,Ovintiv Canada ULC (« Ovintiv ») – Demande de modification de l’ordonnance XG-013-2020 visant le pipeline Tupper Hythe
2505,Enbridge Pipelines Inc. - s. 45 OPR Application to Reactivate Tank 113 at Gretna,Pipelines Enbridge Inc. – Demande aux termes de l’art. 45 du RPT visant la remise en service du réservoir 113 à Gretna
2511,Westcoast Energy Inc. - application to construct and Operate- CS5 Station Bypass Piping Replacement Project,Westcoast Energy Inc. – Demande visant la construction et l’exploitation du projet de remplacement de la tuyauterie de dérivation à la station CS5
1380,Upgrade IPL L4D and L51D - EC-II-6 and EC-III-13,Amélioration des lignes de transport d’électricité L4D et L51D – certificats EC-II-6 et EC-III-13
2462,NOVA Gas Transmission Ltd. s. 58 application to construct and operate - Cutbank River North Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Cutbank River North
2443,Foothills Oil Pipe Line Ltd. Application for Approval of Reimbursement for Reclamation Obligations Related to the Decommissioning of the Leach Creek Segment,Foothills Pipe Lines Ltd. – Demande d’approbation du remboursement relatif aux obligations liées à la désaffectation du tronçon Leach Creek
2514,Hydro One Networks Inc- IPL J5D OPGW Upgrade Project -,Hydro One Networks Inc – Projet de l’amélioration des câbles de garde à fibres optiques de la LIT J5D
2420,Westcoast Energy Inc. - s. 58 application to construct and operate - 6BL Hihium Lake Crossover Assembly,Westcoast Energy Inc. – Demande aux termes de l’article 58 visant la construction et l’exploitation de l’ouvrage de franchissement 6BL du lac Hihium
2537,Trans-Northern Pipeline Inc application to deactivate the Cornwall Meter Station,Pipe-line du Nord – Demande de réactivation de la station de comptage Cornwall
2466,NOVA Gas Transmission Ltd. s. 58 application to construct and operate - Sunchild Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du projet d’agrandissement de la station de comptage au point de réception Sunchild
2437,TNPI  s. 58 application to relocate and operate - Credit River QEW Lynchmere Avenue Pipeline Relocation,"Trans-Nord – Demande aux termes de l’art. 58 visant le déplacement et l’exploitation du franchissement de la rivière Credit, de la QEW et de l’avenue Lynchmere"
2543,Plains Midstream Canada ULC application to Deactivate Kalkaska NPS 8 Pipeline.,Plains Midstream Canada ULC – Demande de désactivation du pipeline Kalkaska NPS 8
1395,Westcoast Energy Inc. s. 44 OPR application to maintain the Fireweed Lateral 2 pipeline in a deactivated state.,Westcoast Energy Inc. – Demande aux termes de l’art. 44 du RPT visant le maintien du pipeline latéral Fireweed no 2 en état de désactivation
2577,Plains Midstream Canada ULC - Wapella Deactivation Application,Plains Midstream Canada ULC – Demande de désactivation du réseau pipelinier Wapella
2589,Kingston Midstream Virden Limited and Plains Midstream requesting leave to sell and transfer the Wapella Pipeline System from Plains to Kingston Virden.,Kingston Midstream Virden Limited et Plains Midstream – Demande visant la vente et le transfert du réseau pipelinier Wapella de Plains à Kingston Virden
1401,NGTL s. 58 application to construct and Operate - Gold Creek South Receipt Meter Station No. 2,NGTL – Demande aux termes de l’art. 58 visant la construction et l’exploitation de la station de comptage au point de réception Gold Creek South no 2
2483,NOVA Gas Transmission Ltd. s. 214 application to construct and operate - Anderson Lake Receipt Meter Station,NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 214 visant la construction et l’exploitation de la station de comptage au point de réception Anderson Lake
2526,County of Vermilion River No. 24 Gas Utility application to construct and operate - Reilly Lake Grain Dryer Project,Service de distribution de gaz du comté de Vermilion River no 24 – Demande visant la construction et l’exploitation du projet de séchoir à grains Reilly Lake
2549,Hydro-Québec TransÉnergie application notification - Appalaches–Maine International Power Line Project,Hydro-Québec TransÉnergie – Signification de l’avis de demande relative au projet de ligne d’interconnexion des Appalaches-Maine
2477,Venturion Oil Limited and Enercapita Energy Ltd. s.74 (1)(a) and (b) application to buy/sell four (4) Boundary Lake Pipelines,Venturion Oil Limited et Enercapita Energy Ltd. – Demande aux termes des al. 74 (1)a) et b) visant l’acquisition et la vente de quatre (4) pipelines Boundary Lake
1338,Abandon Ten IPLs,Cessation d’exploitation de dix lignes internationales de transport d’électricité
2451,TCPL s. 74(1)(d) application to abandon Certain Facilities on the Canadian Mainline System,NGLT – Demande aux termes de l’al. 74(1)d) visant la cessation d’exploitation de certaines installations sur le réseau principal au Canada
2500,TransCanada PipeLines Limited  application to construct and operate - Vineland Sales Meter Station Upgrade,TransCanada Pipelines Ltd. – Demande visant la construction et l’exploitation du projet de mise à niveau de la station de comptage au point de vente Vineland
2569,NOVA Gas Transmission Ltd.  - application for the Sale of the Wolverine River Lateral to Northern Lights Gas Co-op Ltd,NOVA Gas Transmission Ltd. – Demande visant la vente du pipeline latéral Wolverine River à Northern Lights Gas Co-op Ltd.
2520,Many Islands Pipe Lines (Canada) Limited - s.214 application for the Shaunavon Interconnect Project to construct a new metering facility and a non-sour natural gas line,Many Islands Pipe Lines (Canada) Limited – Demande présentée aux termes de l’art. 214 visant le projet d’interconnexion Shaunavon en vue de la construction d’une nouvelle installation de comptage et d’une canalisation de gaz naturel non corrosif
1381,Replace Tanks 51 and 52 at McMahon Gas Plant,Remplacement des réservoirs 51 et 52 à l’usine à gaz McMahon
2414,Union Gas s. 74 application for leave to amalgamate with Enbridge Gas Distribution Inc.,Union Gas – Demande aux termes de l’art. 74 visant la fusion avec Enbridge Gas Distribution Inc.
2457,"Husky Oil Operations Limited s.21, 74(1)(a) application to transfer ownership of the Northend Green Glades gas pipeline to Bow River Ltd.",Husky Oil Operations Limited – Demande aux termes de l’art. 21 et de l’al. 74(1)a) visant le transfert de propriété du gazoduc Northend Green Glades à Bow River Ltd.
2463,NOVA Gas Transmission Ltd. s. 58 application - to construct and operate - Groundbirch Mainline Loop (Sunrise Section),NOVA Gas Transmission Ltd. – Demande aux termes de l’art. 58 visant la construction et l’exploitation du doublement de la  canalisation principale Groundbirch (section Sunrise)
2506,Westcoast Energy Inc. s. 214 application to construct and operate - CS-1 Segregation Project,Westcoast Energy Inc. – Demande aux termes de l’art. 214 visant la construction et l’exploitation du projet de séparation de la station de compression no 1
2557,NOVA Gas Transmission Ltd. - North Corridor Expansion Project- Issuance of Instruments,NOVA Gas Transmission Ltd. – Délivrance d’instruments relatifs au projet d’agrandissement du couloir nord
1375,Construct Wiau Lake North Sales Meter Station,Construction de la station de comptage au point de vente Wiau Lake North
1398,"Section 47 Application for LTO, GC-117","Demande de mise en service aux termes de l’art. 47, GC-117"
2563,NOVA Gas Transmission Ltd Application for the Sale of the Acadia Valley Lateral to Dry Country Gas Co-op Ltd.,NOVA Gas Transmission Ltd. – Demande visant la vente du pipeline latéral Acadia Valley à Dry Country Gas Co-op Ltd.
2417,Pouce Coupé Pipe Line Ltd. - Condition 6 and Application to Decommission Henderson Creek Temporary Crossing- XO-P123-001-2019,"Pouce Coupé Pipe Line Ltd. – Condition 6 et demande de désaffectation du franchissement provisoire du ruisseau Henderson, ordonnance XO-P123-001-2019"
2540,Trans Mountain Pipeline ULC - application to construct and operate - Sumas River Crossing Replacement Project,Trans Mountain Pipeline ULC – Demande visant la construction et l’exploitation du projet de remplacement du franchissement de la rivière Sumas
2517,Kinder Morgan Cochin ULC  - Application for Variance - Order MO-075-2018,Kinder Morgan Cochin ULC – Demande de modification de l’ordonnance MO-075-2018
2494,Trans Mountain Pipeline ULC s. 58 application - Westridge Delivery Line Relocation (HEARING),Trans Mountain Pipeline ULC – Demande aux termes de l’art. 58 visant le projet de déplacement de la conduite de livraison Westridge (AUDIENCE)
