,Event Number,Event Type,Applicable Regulations,Company Name,Damage Prevention Program Changed,Further Action Required,Equipment Type,Was Pipe Contacted,Was Pipe Damaged,Was There Damage To Pipe Coating,Was There Damage To Pipe Body,Will An Engineering Assessment Be Required,Was The Determination Whether There Was Damage To Pipe Made By Competent Person,Date Event Occurred,Who Discovered The Event,Method Of Discovery,Warning Signs Visible,Distance From Activity To The Nearest Pipe Signage,Final Submission Date,Is There Immediate Concern For Safety Of Pipeline Employee Or General Public,Pipeline Name,Pipeline Outside Diameter (mm),Length Of Pipeline (km),Commodity Carried,Province/ Territory Where Event Occurred,Latitude,Longitude,Did Person Obtain Company Written Consent To Operate Across Pipeline,Crossing Agreement,Other Agreement,Was The Vehicle Or Mobile Equipment Used To Perform An Agricultural Activity,Was The Point Of Crossing Subject To A Notification Under Section 7 Of The Damage Prevention Regulations,Type Of Vehicle Or Mobile Equipment,Did The Pipeline Company Complete Surface Load Analysis,Ground Disturbance Type,Type Of Equipment That Caused The Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance,Distance From Centreline Of Pipeline To Ground Disturbance Unit of Measure,Depth Of Activity,Depth Of Activity Unit of Measure,Depth Of Cover Prior To Activity,Depth Of Cover Prior To Activity Unit of Measure,Did The Activity Result In Removal Of Earth Cover Over The Pipeline Right Of Way,Reduction Of Depth Of Cover After Activity,Reduction Of Depth Of Cover After Activity Unit of Measure,Did A Person Obtain Company Written Consent For The Ground Disturbance,Did A Person Make A Locate Request In Accordance With Section 3 Of The DPR,Written Consent Issued,Start Without Inspector,Pipeline Marked,Locate Request Made,Was The Pipe Located Prior To The Ground Disturbance,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(A) And (C) Or Of DPR For Construction Of Facility,"Was The Construction Of A Facility Across,On,Along,Or Under The Pipeline Right Of Way",Type Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility,Distance From Centreline Of Pipeline To Construction Of Facility Unit of Measure,Did A Person Obtain Company Written Consent For The Construction Of The Facility,Did Person Make Request In Accordance With Section 3 Of DPR Authorizations,Was The Pipe Located Prior To The Construction Of Facility,Did A Person Obtain Information That Is Referred To Paragraph 6(1)(a) and (c) or Of DPR For Ground Disturbance,Has Gouge On Physical Pipe,Gouge Width,Gouge Length,Gouge Depth,Gouge Depth Unit Of Measurement,Gouge Location (Clock Location),Has Dent On Physical Pipe,Dent Width,Dent Length,Dent Depth,Dent Depth Unit Of Measurement,Dent Location (Clock Location),Dent Has Interactions With Mill Or Field Weld,Dent Has Presence Of Corrosion,Dent Has Presence Of Stress Concentrators,Dent Strain (Percentage),Has Other Damage On Physical Pipe,Has The Damage Been Mitigated,Have The Interim Measured Been Taken,How Damage Was Caused,List Of Ground Disturbance Measures,List Of Construction of Facility Measures,Basic Causes,Immediate Causes,Preventive Corrective Actions
1383,UX2020-165,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,07/15/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.06,-79.95,,No,No,,,,,,,,,,,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1384,UX2020-166,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,07/15/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.51,-73.99,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1385,UX2020-167,Construction of a Facility; Ground Disturbance; Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,07/16/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.98,-73.37,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,UX2020-168,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,07/16/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.69,-73.92,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,UX2020-169,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,07/17/2020,,,No,,07/18/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,53.2,-122.53,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388,UX2020-170,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Enbridge Pipelines Inc.,No,No,,No,,,,Not Specified,,07/18/2020,,,Yes,,07/20/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,44.27,-76.98,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1389,UX2020-172,Ground Disturbance,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,07/21/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.86,-79.62,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,UX2020-173,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,Yes,No,,No,,,,Not Specified,,Not Specified,,,Yes,,07/22/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.51,-79.64,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1391,UX2020-174,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,NOVA Gas Transmission Ltd.,No,No,,No,,,,Not Specified,,07/22/2020,,,Yes,,07/23/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,50.88,-110.48,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1392,UX2020-175,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,Yes,,,,Not Specified,,07/22/2020,,,Yes,,07/23/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,55.43,-122.68,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1393,UX2020-176,Ground Disturbance,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,NOVA Gas Transmission Ltd.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,07/24/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,52.45,-114.86,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1394,UX2020-177,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,No,,No,,,,Not Specified,,07/27/2020,,,Yes,,07/29/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.9,-79.06,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1395,UX2020-178,Ground Disturbance; Vehicle Crossing,Canadian Energy Regulator Pipeline Damage Prevention Regulations  Authorizations ; Canadian Energy Regulator Pipeline Damage Prevention Regulations  Obligations of Pipeline Companies,NOVA Gas Transmission Ltd.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,07/29/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,56.75,-111.43,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396,UX2020-180,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Alliance Pipeline Ltd.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/04/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,55.1,-119.42,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1397,UX2020-182,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/10/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,45.26,-75.58,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1398,UX2020-183,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,08/10/2020,,,Yes,,08/10/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,50.77,-120.34,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1399,UX2020-185,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/12/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,48.82,-93.27,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,UX2020-187,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Niagara Gas Transmission Limited,No,Yes,,No,,,,Not Specified,,07/20/2020,,,Yes,,08/14/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,45.44,-75.54,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,UX2020-186,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/14/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,44.27,-76.63,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1402,UX2020-189,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Plains Midstream Canada ULC,No,Yes,,No,,,,Not Specified,,08/17/2020,,,Yes,,08/19/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Manitoba,49.83,-97.94,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1403,UX2020-190,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/20/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.31,-73.5,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404,UX2020-191,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,08/20/2020,,,Yes,,08/20/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,55.63,-121.79,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1405,UX2020-192,Construction of a Facility,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/20/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,52.95,-122.45,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1406,UX2020-193,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/21/2020,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.19,-79.86,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,UX2020-194,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Enbridge Pipelines Inc.,No,No,,No,,,,Not Specified,,08/21/2020,,,Yes,,08/21/2020,,Line 10 Deactivated,323.850,32.6700,Crude Oil,Ontario,43.13,-79.83,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,UX2020-196,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,08/25/2020,,,Yes,,08/25/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.17,-122.66,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1409,UX2020-197,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,08/26/2020,,,Yes,,08/26/2020,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.18,-122.7,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,UX2018-145,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Plains Midstream Canada ULC,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/15/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Saskatchewan,50.3,-103.38,,,,,,,,,,,,,,,,,,,,,No,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1411,UX2018-146,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,08/17/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.33,-72.6,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,UX2018-147,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,08/13/2018,,,No,,08/20/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,55.39,-122.11,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1413,UX2018-148,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,08/07/2018,,,Yes,,08/21/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.2,-122.83,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,UX2018-149,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/22/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Manitoba,49.78,-97.42,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1415,UX2018-150,Construction of a Facility; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,08/24/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.42,-74.03,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,UX2018-151,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,Not Specified,,,No,,08/24/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,53.06,-122.48,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1417,UX2018-153,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,08/27/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,45.62,-73.65,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,UX2018-154,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Plains Midstream Canada ULC,No,No,,No,,,,Not Specified,,08/20/2018,,,Yes,,08/27/2018,,PPTC Portage to Fort Whyte,168.280,88.2000,"NGL-HVP (Propane,Butane)",Manitoba,49.78,-97.42,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,UX2018-156,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,08/28/2018,,,Yes,,08/29/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,48.98,-90.36,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,UX2018-157,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Trans-Northern Pipelines Inc.,No,Yes,,No,,,,Not Specified,,08/28/2018,,,Yes,,08/29/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.68,-79.58,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1421,UX2018-158,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Québec and Maritimes Pipeline Inc.,No,No,,No,,,,Not Specified,,08/29/2018,,,Yes,,08/30/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Quebec,46.01,-73.42,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,UX2018-159,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,08/31/2018,,,Yes,,09/04/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,56.44,-122.11,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1423,UX2018-160,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,09/05/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,48.2,-80.26,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,UX2018-161,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,TransCanada PipeLines Limited,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,09/05/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Ontario,43.76,-79.63,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,UX2018-162,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Plains Midstream Canada ULC,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,09/07/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Manitoba,50.09,-100.06,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,UX2018-165,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,09/06/2018,,,No,,09/08/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,55.82,-119.76,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427,UX2018-166,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,08/14/2018,,,Yes,,09/10/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,53.28,-117.74,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,UX2018-167,Construction of a Facility; Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,Trans Mountain Pipeline ULC,No,No,,No,,,,Not Specified,,09/06/2018,,,Yes,,09/10/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,49.15,-122.58,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,UX2018-168,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,09/11/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,55.85,-119.8,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,UX2018-169,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations,Alliance Pipeline Ltd.,No,No,,No,,,,Not Specified,,Not Specified,,,Yes,,09/12/2018,,AB 44 Interconnect pipeline,406.400,3.0000,Natural Gas,Alberta,53.56,-116.55,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431,UX2018-170,Ground Disturbance; Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Yes,,No,,,,Not Specified,,Not Specified,,,Yes,,09/12/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,56.08,-120.64,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,UX2018-172,Ground Disturbance,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies,NOVA Gas Transmission Ltd.,No,No,,No,,,,Not Specified,,07/12/2018,,,Yes,,09/13/2018,,Not Specified,Not Specified,Not Specified,Not Specified,Alberta,50.14,-112.23,,,,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1433,UX2018-173,Vehicle Crossing,National Energy Board Pipeline Damage Prevention Regulations  Authorizations; National Energy Board Pipeline Damage Prevention Regulations  Obligations for Pipeline Companies; Transportation Safety Board Regulations,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,No,,No,,,,Not Specified,,Not Specified,,,No,,09/17/2018,,Not Specified,Not Specified,Not Specified,Not Specified,British Columbia,59.53,-123.16,,No,No,,,,,,,,,,,,,,,,,,No,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
