Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released (m3),Substance,Release Type,Significant,Year,What Happened,Why It Happened
INC2015-029,Release of Substance,03/17/2015,Plum Coulee,Manitoba,Enbridge Pipelines Inc.,Closed,51.45,-107.38611111,0.0005,Natural Gas Liquids,Gas,No,2015,"External Interference, Incorrect Operation","Human Factors, Inadequate Supervision"
INC2015-030,Adverse Environmental Effects,03/20/2015,edmundston,New Brunswick,Twin Rivers Paper Company Inc.,Closed,47.361505,-68.32824,Not Applicable,Not Applicable,Not Applicable,Yes,2015,Equipment Failure,Engineering and Planning
INC2015-031,Release of Substance,03/30/2015,"Dryden, Ontario",Ontario,TransCanada PipeLines Limited,Closed,49.78942,-92.76552,0.1000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Engineering and Planning
INC2015-032,Release of Substance,03/30/2015,Wonowon BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.708689,-121.766112,2.4000,Natural Gas - Sour,Gas,Yes,2015,"Equipment Failure, External Interference",Human Factors
INC2015-034,Operation Beyond Design Limits,03/31/2015,Cornwall,Ontario,Trans-Northern Pipelines Inc.,Closed,45.03715,-74.71838,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation",Engineering and Planning
INC2015-035,Operation Beyond Design Limits,04/02/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.544257,-113.35606,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Standards and Procedures
INC2015-036,Release of Substance,04/07/2015,"Dryden, Ontario",Ontario,TransCanada PipeLines Limited,Closed,49.78942,-92.76552,1.0000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Engineering and Planning
INC2015-037,Fire,04/10/2015,"Rapid City, Manitoba",Manitoba,TransCanada Keystone Pipeline GP Ltd.,Closed,50.076253,-100.001452,Not Applicable,Not Applicable,Not Applicable,No,2015,Equipment Failure,Engineering and Planning
INC2015-038,Operation Beyond Design Limits,04/16/2015,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.752741,-101.238774,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation","Failure in communication, Maintenance, Standards and Procedures, Tools and Equipment"
INC2015-041,Fire,04/19/2015,Spirit River,Alberta,Pembina Energy Services Inc.,Closed,55.786645,-118.9348,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,"Failure in communication, Human Factors, Inadequate Supervision"
INC2015-042,Release of Substance,04/20/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1463,-120.66917,268.0000,Water,Miscellaneous,No,2015,External Interference,Maintenance
INC2015-043,Serious Injury (CER or TSB),04/21/2015,Jasper,Alberta,Trans Mountain Pipeline ULC,Closed,53.010185,-118.100442,Not Applicable,Not Applicable,Not Applicable,Yes,2015,Incorrect Operation,Standards and Procedures
INC2015-044,Release of Substance,04/22/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630285,-120.66916931,2.5000,Amine,Miscellaneous,No,2015,"External Interference, Incorrect Operation",Human Factors
INC2015-045,Release of Substance,04/28/2015,Grand Pointe,Ontario,Plains Midstream Canada ULC,Closed,42.469356,-82.369772,1.8200,Mixed HVP Hydrocarbons,Gas,No,2015,"External Interference, Incorrect Operation",Tools and Equipment
INC2015-046,Release of Substance,05/04/2015,Cold Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.69512814,-110.72729395,41380.0000,Natural Gas - Sweet,Gas,Yes,2015,"Corrosion and Cracking, External Interference",Maintenance
INC2015-049,Release of Substance,05/06/2015,"Spririt River, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,55.81518,-119.36579,0.1000,Natural Gas - Sweet,Gas,No,2015,"Corrosion and Cracking, Defect and Deterioration",Engineering and Planning
INC2015-050,Release of Substance,05/09/2015,Salisbury,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.16167,-65.34959,10374.0000,Natural Gas - Sweet,Gas,No,2015,Equipment Failure,Maintenance
INC2015-051,Release of Substance,05/09/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.146,-120.671,262.0000,Butane,Gas,No,2015,External Interference,"Engineering and Planning, Human Factors, Maintenance, Standards and Procedures"
INC2015-052,Fire,05/09/2015,Rosetown,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.586,-107.959,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,Human Factors
INC2015-053,Fire,05/11/2015,Glenboro Manitoba,Manitoba,Enbridge Pipelines Inc.,Closed,49.538348,-99.289286,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Standards and Procedures
INC2015-054,Release of Substance,05/11/2015,"Quesnel, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,52.640194,-122.447333,1.0000,Natural Gas - Sweet,Gas,No,2015,Equipment Failure,Maintenance
INC2015-055,Release of Substance,05/12/2015,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.78942,-92.76552,0.1000,Natural Gas - Sweet,Gas,No,2015,"Corrosion and Cracking, Incorrect Operation",Engineering and Planning
INC2015-056,Release of Substance,05/12/2015,"Medicine Hat, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,50.16626,-110.59318,3400000.0000,Natural Gas - Sweet,Gas,Yes,2015,"Incorrect Operation, Natural Force Damage","Engineering and Planning, Natural or Environmental Forces"
INC2015-057,Fire,05/13/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.537622,-113.368289,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Inadequate Supervision
INC2015-058,Operation Beyond Design Limits,05/13/2015,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.551922,-113.351563,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,"Engineering and Planning, Standards and Procedures"
INC2015-059,Fire,05/20/2015,Burnaby BC,British Columbia,Trans Mountain Pipeline ULC,Closed,49.29045,-122.95047,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Maintenance
INC2015-060,Release of Substance,05/22/2015,"Nipigon, Ontario",Ontario,TransCanada PipeLines Limited,Closed,49.29537,-88.10128,2.0000,Lube Oil,Liquid,No,2015,Corrosion and Cracking,Engineering and Planning
INC2015-061,Fire,05/22/2015,Hardisty,Alberta,Enbridge Pipelines Inc.,Closed,52.63188,-111.282521,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,"Human Factors, Inadequate Supervision"
INC2015-062,Fire,05/25/2015,Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.483487,-104.587856,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,Human Factors
INC2015-063,Release of Substance,05/25/2015,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.79306,-120.52312,2.0000,Propane,Gas,No,2015,External Interference,Engineering and Planning
INC2015-064,Release of Substance,05/26/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.145,-120.67,41.0000,Contaminated Water,Miscellaneous,No,2015,"External Interference, Incorrect Operation","Engineering and Planning, Failure in communication, Human Factors"
INC2015-070,Release of Substance,06/18/2015,"Regina, Saskatchewan",Saskatchewan,Alliance Pipeline Ltd.,Closed,50.2520045,-104.408497,1.0000,Natural Gas - Sweet,Gas,No,2015,External Interference,Engineering and Planning
INC2015-071,Release of Substance,06/19/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14630285,-120.66916931,2.0000,Waste Oil,Liquid,No,2015,"Corrosion and Cracking, External Interference",Engineering and Planning
INC2015-073,Release of Substance,06/27/2015,Hardisty,Alberta,Express Pipeline Ltd.,Closed,52.63471,-111.2641,16.0000,Crude Oil - Sweet,Liquid,No,2015,External Interference,"Human Factors, Maintenance"
INC2015-074,Release of Substance,07/01/2015,"Chetwynd, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.572,-121.944,526.0000,Natural Gas - Sour,Gas,Yes,2015,Defect and Deterioration,Tools and Equipment
INC2015-075,Fire,07/03/2015,"Taylor, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.1441,-120.66393,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Standards and Procedures
INC2015-077,Fire,07/10/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation",Standards and Procedures
INC2015-078,Adverse Environmental Effects,07/10/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,Not Applicable,Not Applicable,Not Applicable,Yes,2015,External Interference,Engineering and Planning
INC2015-079,Operation Beyond Design Limits,07/10/2015,"Savona, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,50.749402,-120.856615,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation","Failure in communication, Human Factors, Standards and Procedures"
INC2015-080,Release of Substance,07/13/2015,Karr Receipt Point is approximately 95 km SE of Grande Prairie,Alberta,Alliance Pipeline Ltd.,Closed,54.61366745,-118.21160685,1.0000,Natural Gas - Sweet,Gas,No,2015,Incorrect Operation,Failure in communication
INC2015-081,Operation Beyond Design Limits,07/13/2015,"Grande Prairie, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,54.830119,-118.646961,Not Applicable,Not Applicable,Not Applicable,No,2015,Other Causes,Engineering and Planning
INC2015-082,Release of Substance,07/14/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,1.8000,Sulphur,Miscellaneous,No,2015,Incorrect Operation,Standards and Procedures
INC2015-083,Release of Substance,07/16/2015,"Fort Nelson, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.654643,-122.68924,13.4000,Natural Gas - Sour,Gas,Yes,2015,Equipment Failure,Maintenance
INC2015-084,Release of Substance,07/20/2015,"Regina, Saskatchewan",Saskatchewan,Enbridge Pipelines Inc.,Closed,50.482934,-104.586279,0.0001,Natural Gas Liquids,Gas,No,2015,"Equipment Failure, External Interference, Incorrect Operation",Maintenance
INC2015-085,Release of Substance,07/23/2015,"Kerrobert Station is approximately 4km NW of the town of Kerrobert, Saskatchewan",Saskatchewan,Alliance Pipeline Ltd.,Closed,51.94,-109.18,28.0000,Natural Gas - Sweet,Gas,No,2015,External Interference,Engineering and Planning
INC2015-087,Release of Substance,07/24/2015,Taylor BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.14512,-120.66429,20.0000,Produced Water,Miscellaneous,No,2015,"Equipment Failure, External Interference",Engineering and Planning
INC2015-088,Operation Beyond Design Limits,07/30/2015,"Grand Prairie, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,54.830119,-118.646961,Not Applicable,Not Applicable,Not Applicable,No,2015,Other Causes,Engineering and Planning
INC2015-090,Operation Beyond Design Limits,08/06/2015,Valleyview,Alberta,Alliance Pipeline Ltd.,Closed,54.4245,-117.75955,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,"Engineering and Planning, Failure in communication"
INC2015-091,Release of Substance,08/17/2015,Chetwynd BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.57,-121.94,164.0000,Natural Gas - Sour,Gas,Yes,2015,Corrosion and Cracking,Maintenance
INC2015-092,Release of Substance,08/18/2015,Brockville,Ontario,TransCanada PipeLines Limited,Closed,44.682404,-75.622458,0.0100,Natural Gas - Sweet,Gas,No,2015,Natural Force Damage,Engineering and Planning
INC2015-093,Release of Substance,08/18/2015,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.791,-120.526,2.1180,Propane,Gas,No,2015,External Interference,Engineering and Planning
INC2015-095,Release of Substance,08/19/2015,"Fort St. John, B.C.",Alberta,NOVA Gas Transmission Ltd.,Closed,56.337317,-119.910103,2366.0000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Maintenance
INC2015-096,Release of Substance,08/21/2015,"Beiseker, AB",Alberta,NOVA Gas Transmission Ltd.,Closed,51.32322,-113.37743,0.0010,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Maintenance
INC2015-097,"Explosion, Fire",08/24/2015,"Hardisty, Alberta",Alberta,Enbridge Pipelines Inc.,Closed,52.639314,-111.27931,Not Applicable,Not Applicable,Not Applicable,No,2015,Corrosion and Cracking,"Engineering and Planning, Human Factors, Inadequate Procurement"
INC2015-098,Release of Substance,08/24/2015,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65324554,-122.68482307,135.0000,Natural Gas - Sour,Gas,Yes,2015,"Equipment Failure, Incorrect Operation","Failure in communication, Inadequate Supervision"
INC2015-100,Release of Substance,08/27/2015,Iroquois,Ontario,TransCanada PipeLines Limited,Closed,44.889561,-75.295674,0.0100,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Engineering and Planning
INC2015-101,Fire,08/28/2015,Smoky Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,54.095881,-112.305035,Not Applicable,Not Applicable,Not Applicable,No,2015,Equipment Failure,Maintenance
INC2015-102,Explosion,08/30/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.6499,-122.20722,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,"Engineering and Planning, Maintenance"
INC2015-103,Release of Substance,08/31/2015,"Mackenzie, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.42619,-122.67658,92300.0000,Natural Gas - Sweet,Gas,Yes,2015,Equipment Failure,Engineering and Planning
INC2015-104,Release of Substance,09/06/2015,"St.Paul, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,53.914064,-111.700742,9510.0000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Maintenance
INC2015-105,Release of Substance,09/11/2015,Goldboro,Nova Scotia,EnCana Corporation,Closed,45.177234,-61.62299574,198.0000,Natural Gas - Sweet,Gas,No,2015,"Defect and Deterioration, External Interference, Incorrect Operation",Maintenance
INC2015-107,Release of Substance,09/13/2015,Bruce,Alberta,NOVA Gas Transmission Ltd.,Closed,53.195074,-111.90868,9744.0000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Maintenance
INC2015-108,Release of Substance,09/14/2015,City of Regina,Saskatchewan,Enbridge Pipelines Inc.,Closed,50.482928,-104.586263,0.0001,Natural Gas Liquids,Gas,No,2015,"Equipment Failure, External Interference, Incorrect Operation",Tools and Equipment
INC2015-109,Release of Substance,09/16/2015,"Cromer, MB",Manitoba,Enbridge Pipelines Inc.,Closed,49.749362,-101.244345,0.0076,Natural Gas Liquids,Gas,No,2015,External Interference,Maintenance
INC2015-110,Release of Substance,09/18/2015,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65324554,-122.68482307,11.6110,Natural Gas - Sour,Gas,Yes,2015,Corrosion and Cracking,"Maintenance, Standards and Procedures"
INC2015-112,Release of Substance,09/24/2015,"Moncton, NB",New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,46.11317,-64.71534,0.0001,Odourant,Miscellaneous,No,2015,Equipment Failure,Maintenance
INC2015-113,Release of Substance,09/29/2015,"Hasler BC , Chetwynd BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.571,-121.94,32.6000,Natural Gas - Sour,Gas,Yes,2015,Corrosion and Cracking,Engineering and Planning
INC2015-114,Release of Substance,10/01/2015,"Alameda, Saskatchewan",Saskatchewan,Alliance Pipeline Ltd.,Closed,49.325059,-102.297403,1.0000,Natural Gas - Sweet,Gas,No,2015,Incorrect Operation,Inadequate Supervision
INC2015-115,Release of Substance,10/09/2015,"Alameda, Saskatchewan",Saskatchewan,Alliance Pipeline Ltd.,Closed,49.325059,-102.297403,1.0000,Natural Gas - Sweet,Gas,No,2015,External Interference,Engineering and Planning
INC2015-116,Fire,10/14/2015,Sarnia,Ontario,Enbridge Pipelines Inc.,Closed,42.95261483,-82.37432685,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Maintenance
INC2015-118,Release of Substance,10/16/2015,"Cromer, MB",Manitoba,Enbridge Pipelines Inc.,Closed,49.752443,-101.241633,30.0000,Crude Oil - Sweet,Liquid,No,2015,"External Interference, Incorrect Operation","Failure in communication, Human Factors, Inadequate Supervision"
INC2015-119,Serious Injury (CER or TSB),10/21/2015,"Vibank, Saskatchewan",Saskatchewan,Enbridge Pipelines Inc.,Closed,50.362699,-104.045302,Not Applicable,Not Applicable,Not Applicable,Yes,2015,Incorrect Operation,Human Factors
INC2015-120,Adverse Environmental Effects,10/25/2015,Fort McKay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.340222,-111.671137,Not Applicable,Not Applicable,Not Applicable,Yes,2015,External Interference,Engineering and Planning
INC2015-121,Release of Substance,10/27/2015,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.830122,-118.645459,1.2200,Natural Gas - Sweet,Gas,No,2015,"Equipment Failure, External Interference","Human Factors, Maintenance"
INC2015-122,Release of Substance,10/27/2015,Regina,Saskatchewan,Plains Midstream Canada ULC,Closed,50.481964,-104.568289,4.0000,Crude Oil - Sweet,Liquid,No,2015,"External Interference, Incorrect Operation","Engineering and Planning, Failure in communication, Human Factors, Inadequate Supervision, Standards and Procedures"
INC2015-123,Release of Substance,10/29/2015,Fort Mackay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.3426,-111.74337,1.0000,Natural Gas - Sweet,Gas,No,2015,Defect and Deterioration,Maintenance
INC2015-124,Release of Substance,10/31/2015,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.655,-122.6899,3.5270,Potassium Carbonate,Miscellaneous,No,2015,Corrosion and Cracking,"Engineering and Planning, Failure in communication, Human Factors, Inadequate Supervision, Maintenance, Standards and Procedures"
INC2015-125,Adverse Environmental Effects,11/02/2015,Fort McKay ,Alberta,NOVA Gas Transmission Ltd.,Closed,57.340222,-111.677683,Not Applicable,Not Applicable,Not Applicable,Yes,2015,External Interference,Engineering and Planning
INC2015-126,Operation Beyond Design Limits,11/06/2015,"Gretna, MB",Manitoba,Enbridge Pipelines Inc.,Closed,49.015601,-97.554021,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,"Failure in communication, Standards and Procedures"
INC2015-127,Release of Substance,11/09/2015,CFB Wainwright,Alberta,NOVA Gas Transmission Ltd.,Closed,52.61406,-110.96464,14075.0000,Natural Gas - Sweet,Gas,No,2015,Corrosion and Cracking,Maintenance
INC2015-128,Adverse Environmental Effects,11/10/2015,Fort McKay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.34,-111.68,Not Applicable,Not Applicable,Not Applicable,Yes,2015,External Interference,Engineering and Planning
INC2015-129,Adverse Environmental Effects,11/10/2015,Fort McKay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.3,-111.68,Not Applicable,Not Applicable,Not Applicable,Yes,2015,External Interference,Engineering and Planning
INC2015-130,Adverse Environmental Effects,11/10/2015,Fort McKay,Alberta,NOVA Gas Transmission Ltd.,Closed,57.3,-111.68,Not Applicable,Not Applicable,Not Applicable,Yes,2015,"External Interference, Natural Force Damage",Engineering and Planning
INC2015-132,Release of Substance,11/17/2015,Chetwynd,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,770.0000,Hydrogen Sulphide,Miscellaneous,Yes,2015,Incorrect Operation,Standards and Procedures
INC2015-133,Release of Substance,11/20/2015,Wonowon BC,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.393465,-121.3719,0.0010,Natural Gas - Sour,Gas,Yes,2015,Equipment Failure,Maintenance
INC2015-135,Release of Substance,11/23/2015,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.66,-122.69,58.0000,Sulphur,Miscellaneous,No,2015,Incorrect Operation,"Failure in communication, Human Factors, Standards and Procedures"
INC2015-136,Release of Substance,11/24/2015,Hazler,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.56909171,-121.94466164,0.0750,Sulphur,Miscellaneous,No,2015,"External Interference, Incorrect Operation","Maintenance, Standards and Procedures"
INC2015-137,Fire,11/26/2015,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.445071,-117.697381,Not Applicable,Not Applicable,Not Applicable,No,2015,"Equipment Failure, External Interference","Human Factors, Maintenance"
INC2015-138,Release of Substance,11/26/2015,"Chetwynd, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.571824,-121.942698,2000.0000,Amine,Miscellaneous,No,2015,Incorrect Operation,"Engineering and Planning, Standards and Procedures"
INC2015-139,Release of Substance,12/01/2015,Wilkesport,Ontario,Plains Midstream Canada ULC,Closed,42.714906,-82.358961,0.3000,Propane,Gas,No,2015,"Defect and Deterioration, Equipment Failure",Maintenance
INC2015-140,Fire,12/04/2015,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,55.9773,-112.0273,Not Applicable,Not Applicable,Not Applicable,No,2015,Other Causes,Maintenance
INC2015-141,Fire,12/04/2015,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,56.0207,-112.18207,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation",Maintenance
INC2015-142,Fire,12/05/2015,Fort McMurray,Alberta,NOVA Gas Transmission Ltd.,Closed,55.9788,-111.98153,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,Human Factors
INC2015-143,Fire,12/10/2015,Brampton,Ontario,TransCanada PipeLines Limited,Closed,43.746944,-79.637222,Not Applicable,Not Applicable,Not Applicable,No,2015,"External Interference, Incorrect Operation","Failure in communication, Human Factors, Inadequate Supervision, Maintenance"
INC2015-144,Release of Substance,12/11/2015,Ile Des Chene,Manitoba,TransCanada PipeLines Limited,Closed,49.72011504,-96.98386154,1.0000,Natural Gas - Sweet,Gas,No,2015,"Corrosion and Cracking, Incorrect Operation","Failure in communication, Maintenance"
INC2015-145,Operation Beyond Design Limits,12/11/2015,Hardisty AB,Alberta,Enbridge Pipelines Inc.,Closed,52.637564,-111.27924,Not Applicable,Not Applicable,Not Applicable,No,2015,External Interference,Engineering and Planning
INC2015-146,Operation Beyond Design Limits,12/12/2015,Rainbow Lake,Alberta,NOVA Gas Transmission Ltd.,Closed,58.446355,-119.22343,Not Applicable,Not Applicable,Not Applicable,No,2015,"Equipment Failure, External Interference",Tools and Equipment
INC2015-147,Release of Substance,12/18/2015,"10.8 km south of Tumbler Ridge, BC",British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.04185986,-121.01875585,10.4000,Natural Gas - Sour,Gas,Yes,2015,Equipment Failure,"Maintenance, Standards and Procedures"
INC2015-148,Fire,12/21/2015,Dawson Creek,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.793649,-120.522161,Not Applicable,Not Applicable,Not Applicable,No,2015,Incorrect Operation,Human Factors
INC2015-150,Release of Substance,12/22/2015,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.146082,-120.673492,32.0000,Water,Miscellaneous,No,2015,Incorrect Operation,"Human Factors, Standards and Procedures"
INC2015-152,Fire,12/31/2015,Fort McMurray ,Alberta,NOVA Gas Transmission Ltd.,Closed,56.04405,-112.43548,Not Applicable,Not Applicable,Not Applicable,No,2015,Other Causes,Maintenance
INC2016-001,Release of Substance,01/01/2016,Kingston,Ontario,TransCanada PipeLines Limited,Closed,44.276915,-76.876379,1.2100,Natural Gas - Sweet,Gas,No,2016,"Corrosion and Cracking, External Interference",Human Factors
INC2016-002,Release of Substance,01/01/2016,"Taylor, British Columbia",British Columbia,Alliance Pipeline Ltd.,Closed,56.17397,-120.60927,72500.0000,Natural Gas - Sweet,Gas,Yes,2016,Equipment Failure,Maintenance
INC2016-003,Fire,01/02/2016,Sherwood Park,Alberta,Enbridge Pipelines Inc.,Closed,53.54151,-113.353867,Not Applicable,Not Applicable,Not Applicable,No,2016,External Interference,Tools and Equipment
INC2016-004,Operation Beyond Design Limits,01/04/2016,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.544151,-113.355103,Not Applicable,Not Applicable,Not Applicable,No,2016,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors, Inadequate Supervision"
INC2016-006,Release of Substance,01/06/2016,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.65324554,-122.68482307,2.9000,Contaminated Water,Miscellaneous,No,2016,Corrosion and Cracking,Maintenance
INC2016-008,Operation Beyond Design Limits,01/13/2016,Oakville,Ontario,Trans-Northern Pipelines Inc.,Closed,43.39419,-79.73732,Not Applicable,Not Applicable,Not Applicable,No,2016,"External Interference, Incorrect Operation",Engineering and Planning
INC2016-010,Release of Substance,01/19/2016,"Manning, Alberta",Alberta,NOVA Gas Transmission Ltd.,Closed,57.42235949,-118.24922174,42.0000,Natural Gas - Sweet,Gas,No,2016,Corrosion and Cracking,"Maintenance, Tools and Equipment"
INC2016-013,Fire,01/25/2016,Wabasca,Alberta,NOVA Gas Transmission Ltd.,Closed,56.4861,-114.11751,Not Applicable,Not Applicable,Not Applicable,No,2016,"External Interference, Incorrect Operation","Engineering and Planning, Tools and Equipment"
INC2016-015,Release of Substance,01/28/2016,None,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.6442,-120.81235,15.2300,Natural Gas - Sweet,Gas,No,2016,Incorrect Operation,Standards and Procedures
INC2016-018,Release of Substance,02/04/2016,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.146137,-120.670787,853.0000,Natural Gas - Sour,Gas,Yes,2016,Incorrect Operation,"Inadequate Supervision, Standards and Procedures"
INC2016-019,Release of Substance,02/04/2016,Taylor,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.083,-120.404,6380.0000,Natural Gas - Sweet,Gas,No,2016,External Interference,Engineering and Planning
INC2016-020,Release of Substance,02/05/2016,.5 km,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.141402,-120.669325,5.0000,Water,Miscellaneous,No,2016,External Interference,Standards and Procedures
INC2016-021,Release of Substance,02/09/2016,Hasler,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,55.569092,-121.944662,13.2300,Natural Gas - Sour,Gas,Yes,2016,Incorrect Operation,Engineering and Planning
INC2016-022,Release of Substance,02/10/2016,Strome,Alberta,Enbridge Pipelines Inc.,Closed,52.933313,-112.082122,0.0010,Natural Gas Liquids,Gas,No,2016,Incorrect Operation,"Failure in communication, Human Factors, Inadequate Supervision"
INC2016-023,Release of Substance,02/12/2016,Dartmouth,Nova Scotia,Maritimes & Northeast Pipeline Management Ltd.,Closed,44.6777652,-63.5970225,0.5000,Natural Gas - Sweet,Gas,No,2016,Equipment Failure,Maintenance
